0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,33,4,3,2,2,1,1,0,4,2,23,2,1,2,2,1,0,0
0,16,4,0,0,4,2,2,2,4,1,43,0,0,1,2,1,1,0
0,6,4,0,3,3,3,1,0,4,0,39,2,1,2,1,1,1,0
3,24,2,1,1,3,3,1,0,4,2,23,2,1,1,2,1,0,0
1,30,4,0,0,0,4,3,0,2,2,28,2,1,2,3,1,0,0
3,6,4,4,0,2,1,1,0,1,2,28,2,1,2,2,1,1,0
3,36,2,3,0,2,4,1,0,2,2,28,2,1,1,3,1,1,0
3,15,2,4,2,4,4,2,0,3,1,47,1,1,1,2,1,1,0
1,12,2,0,1,1,4,1,0,2,1,23,0,1,1,1,1,0,0
0,12,2,3,0,2,4,2,2,1,1,21,2,1,1,1,1,0,0
3,12,4,3,0,1,2,1,0,4,1,22,2,0,2,1,1,0,0
0,30,2,4,0,4,1,2,2,3,1,39,2,1,1,2,2,0,0
3,12,2,9,0,2,2,3,0,2,0,26,2,1,1,2,1,1,1
3,36,2,4,4,4,2,1,0,4,0,45,2,1,1,1,1,1,0
3,18,2,4,0,2,4,2,0,2,3,32,2,2,1,3,1,1,0
0,30,2,3,0,3,4,1,0,4,0,23,2,0,1,2,1,0,0
1,15,3,6,3,2,3,3,0,3,1,61,1,1,2,2,1,0,0
0,12,2,3,0,4,4,2,0,4,3,53,2,2,1,3,1,1,0
1,18,4,9,0,0,3,3,0,3,2,40,2,1,3,0,2,1,0
0,24,1,3,2,1,4,2,0,4,3,30,2,2,1,2,2,1,0
0,18,2,1,4,4,1,2,0,4,1,51,2,2,1,2,2,1,0
0,36,2,1,0,4,2,2,0,4,3,42,2,2,1,2,2,0,0
3,18,2,9,0,3,4,2,0,1,2,34,1,1,2,2,1,1,0
2,12,3,0,0,2,2,1,0,2,2,36,1,1,2,2,1,1,0
3,33,3,9,0,2,2,1,0,2,2,26,2,1,2,2,1,1,0
1,30,3,4,1,1,4,2,0,3,3,30,1,1,2,3,1,0,0
3,9,2,3,0,4,1,2,0,4,2,20,2,1,1,2,1,0,0
1,36,2,1,0,2,2,2,0,2,2,35,2,0,1,3,1,1,0
0,12,2,3,0,2,2,1,0,4,2,20,2,0,1,2,1,0,0
3,24,3,0,0,4,4,2,0,4,3,60,2,2,2,2,1,1,0
3,12,2,0,0,4,4,2,0,4,2,39,2,1,1,3,1,1,0
0,30,2,3,3,4,4,1,0,4,1,57,2,0,2,2,1,1,0
1,12,4,0,0,3,2,2,0,3,0,47,2,1,2,1,2,0,0
3,36,4,1,3,4,4,2,0,2,2,38,2,1,2,3,1,1,0
3,24,2,4,1,4,2,2,0,4,2,31,2,1,2,2,1,0,0
0,24,0,3,0,4,3,2,0,4,3,23,0,0,2,2,2,0,0
1,12,2,4,0,3,2,1,0,1,0,27,2,1,1,2,1,0,0
0,12,2,4,0,2,4,1,0,1,2,23,0,1,1,2,1,0,0
3,24,4,4,3,4,2,2,0,2,2,34,2,1,1,2,1,0,0
0,24,1,2,4,4,4,2,0,3,2,40,1,1,1,3,1,1,0
1,36,2,7,0,3,3,2,0,1,2,32,2,1,2,2,2,0,0
1,12,4,0,0,1,1,2,0,3,0,49,0,1,2,1,2,0,0
1,12,0,3,0,1,4,1,0,3,1,25,2,0,2,2,1,0,0
2,12,2,3,4,4,3,1,0,4,0,55,2,1,1,3,1,1,0
3,24,2,1,0,4,4,2,0,4,2,35,2,1,1,3,1,1,0
3,9,2,4,0,3,4,2,0,2,2,22,2,1,1,2,1,0,0
3,18,4,1,4,0,2,2,0,4,3,38,2,1,1,3,1,1,0
1,48,1,9,0,4,4,1,0,3,3,59,2,0,1,2,1,0,0
0,27,0,9,0,0,2,2,0,4,1,50,1,1,2,2,1,1,0
1,30,2,3,0,1,2,3,0,1,1,22,2,1,1,2,1,0,0
0,36,4,3,0,2,3,2,2,2,1,28,2,1,2,2,1,0,0
2,24,4,0,4,3,4,2,0,2,0,37,0,1,2,1,2,0,0
3,42,4,3,2,2,4,2,0,4,0,36,2,1,2,2,1,1,0
0,18,2,4,0,3,4,1,2,1,0,25,2,1,1,2,1,0,0
2,15,4,1,2,2,2,2,0,2,2,36,2,1,1,2,1,1,0
1,18,2,4,2,1,1,3,0,3,0,25,2,0,1,2,1,0,0
1,6,3,0,0,0,4,2,0,4,1,47,2,1,1,3,1,1,0
0,6,1,7,0,4,4,1,0,4,3,35,2,2,1,2,1,0,0
3,18,2,3,0,2,4,2,0,4,3,47,0,2,2,2,1,0,0
1,30,3,9,1,4,4,2,0,2,1,41,1,1,2,2,1,0,0
3,24,2,3,1,2,4,2,0,1,2,25,1,1,1,2,1,0,0
0,12,2,0,0,2,4,1,0,2,0,24,2,1,1,1,1,0,0
3,9,2,7,4,4,1,2,0,4,0,64,2,1,1,1,1,0,0
0,6,4,4,4,4,4,2,0,4,0,67,2,1,2,2,1,1,0
0,12,2,3,0,2,2,2,2,3,1,38,2,1,1,1,2,0,0
1,48,2,0,1,3,3,2,0,2,1,24,2,1,1,2,1,0,0
3,24,2,4,0,3,3,2,0,1,2,32,0,1,1,2,2,0,0
0,24,4,9,1,3,4,2,0,1,0,26,2,1,2,2,1,1,0
3,12,3,1,0,2,4,3,0,4,0,41,2,0,1,2,1,0,0
2,24,2,4,0,3,4,2,0,2,2,25,0,1,1,2,1,0,0
1,18,3,0,4,4,4,2,0,4,2,43,2,1,1,2,2,0,0
1,24,3,3,0,0,3,1,0,2,1,34,2,1,1,3,1,1,0
0,12,4,0,0,2,4,2,0,2,1,30,2,1,2,2,1,0,0
3,9,4,3,0,0,2,2,0,3,2,31,2,1,1,3,1,0,0
3,15,2,0,3,3,2,1,0,3,2,20,2,0,1,2,1,0,0
0,48,2,4,0,3,1,3,2,1,0,34,2,1,2,2,1,1,0
3,15,2,4,4,2,4,3,0,2,0,40,2,0,1,2,1,1,0
3,12,4,4,0,4,4,2,0,4,0,56,2,1,1,2,1,0,0
3,24,4,1,4,2,2,2,0,4,1,46,2,1,2,3,2,1,0
1,36,3,9,0,2,2,0,0,2,0,30,1,1,2,3,1,1,0
0,30,2,6,0,1,1,0,0,1,3,34,2,1,1,1,1,1,0
3,36,3,1,4,3,3,2,0,2,2,31,1,1,1,3,2,1,0
3,36,2,4,4,2,4,1,0,4,2,25,2,1,1,2,1,0,0
1,36,2,1,0,1,1,3,0,4,2,28,2,0,1,3,1,1,0
0,36,3,7,0,2,4,2,0,3,1,29,1,1,1,2,1,1,0
3,6,2,0,0,0,1,1,0,4,0,54,2,1,1,0,1,1,0
1,12,2,3,4,4,1,1,0,2,1,25,0,1,1,2,1,1,0
3,12,4,3,4,4,2,2,0,4,1,49,2,0,1,2,1,1,0
3,21,4,3,0,1,4,1,0,4,1,23,2,1,1,2,1,1,0
3,21,3,3,1,3,4,2,0,3,0,34,2,1,2,3,1,0,0
1,18,4,0,0,4,3,2,2,3,0,30,0,1,2,2,1,0,0
3,12,4,4,4,4,4,1,0,2,0,38,2,1,2,2,1,1,0
3,36,4,1,4,2,4,2,0,2,2,30,2,1,1,3,1,1,0
3,36,2,0,2,4,4,2,0,4,1,36,2,1,1,2,1,0,0
1,7,2,4,0,2,3,2,2,2,0,34,2,1,1,2,1,0,0
3,24,4,4,1,4,4,2,0,4,1,52,0,1,2,2,1,0,0
3,6,2,4,0,3,2,3,0,2,0,29,2,0,1,2,1,0,0
1,15,4,9,2,2,2,2,0,4,2,27,0,1,1,2,1,0,0
3,15,4,4,0,2,4,2,0,4,3,35,2,2,2,2,1,1,0
1,24,4,9,0,4,4,0,0,4,0,31,2,1,2,2,1,1,0
3,15,2,0,2,4,1,1,0,4,3,35,2,2,1,2,1,0,0
2,6,2,0,3,1,2,3,0,2,0,27,2,1,1,0,1,0,1
1,8,2,4,0,2,4,2,2,2,0,33,2,1,1,2,1,0,1
3,24,2,3,2,4,3,2,0,4,1,53,2,1,1,2,1,0,0
0,13,4,9,0,1,3,2,0,1,1,28,0,1,2,1,1,0,0
1,12,2,9,1,3,3,2,0,4,0,39,2,1,1,1,1,0,0
1,42,4,9,0,3,2,1,0,1,0,41,0,1,2,1,1,0,0
3,36,3,4,0,2,4,1,0,4,0,34,2,1,2,2,1,0,0
0,48,2,5,0,2,3,2,0,4,2,54,2,1,1,2,1,0,0
3,12,4,4,0,2,4,1,0,2,1,35,2,1,2,2,1,0,0
1,48,1,9,1,3,4,2,0,2,2,30,2,1,1,2,1,0,0
3,6,4,3,4,2,1,3,0,2,1,27,2,1,2,2,1,0,0
3,4,4,4,0,3,2,2,0,1,0,42,2,1,3,1,2,0,0
1,12,2,4,0,1,4,3,2,1,0,26,0,1,1,1,1,0,0
1,12,2,0,0,3,3,2,0,4,1,30,2,0,1,2,2,1,0
0,24,2,0,0,1,4,1,0,1,1,27,2,1,1,2,1,0,0
3,15,2,3,0,1,2,2,0,3,1,27,0,1,2,1,1,0,0
3,12,4,7,4,1,2,2,0,1,1,37,2,1,2,1,2,0,0
2,12,4,0,2,0,2,2,0,4,3,66,0,2,3,0,1,0,0
3,15,4,4,0,2,4,2,0,2,1,31,2,1,2,2,1,0,0
1,12,2,4,2,2,3,0,0,1,2,26,2,1,1,2,1,1,0
1,12,2,4,0,3,4,2,2,3,0,29,2,1,2,2,1,0,1
0,24,2,3,4,1,1,1,0,2,1,30,2,1,1,2,1,1,1
0,18,2,5,0,2,4,3,0,3,0,47,2,1,1,1,1,1,0
1,12,2,4,4,0,2,2,0,1,3,52,2,1,1,3,1,1,0
1,24,2,4,0,1,1,3,0,1,1,22,2,1,1,2,1,1,0
1,20,3,2,0,2,2,2,0,3,2,29,0,1,2,2,1,1,0
2,15,4,4,4,2,3,2,0,4,3,39,2,2,2,2,1,1,0
3,12,2,4,0,4,4,2,0,4,2,38,2,1,1,2,1,0,0
3,10,4,3,4,2,2,3,0,1,2,26,2,1,2,2,1,0,1
3,48,3,4,4,4,3,2,0,3,2,32,0,1,2,2,2,0,0
2,18,2,3,0,1,1,1,0,1,1,45,1,1,1,1,1,0,0
1,15,2,0,1,2,2,1,0,4,2,28,2,0,2,2,1,1,0
1,30,2,3,1,2,2,1,1,4,2,21,2,0,1,2,1,0,0
3,24,2,4,0,3,4,2,0,2,2,28,2,1,1,2,1,1,0
0,18,4,3,0,1,4,1,0,4,1,21,2,0,1,2,1,0,0
0,24,2,3,0,2,4,2,0,4,1,28,2,1,1,2,1,0,0
1,27,3,1,0,4,1,2,0,2,2,30,2,1,2,3,1,1,0
1,15,1,0,1,0,1,2,0,2,1,34,2,1,1,3,2,1,0
0,6,4,0,0,1,2,2,0,4,0,40,2,1,1,1,2,0,1
3,18,4,3,0,2,4,1,0,2,3,28,2,1,2,2,1,0,0
3,24,4,0,3,4,4,2,0,4,0,60,2,1,1,2,1,1,0
3,10,4,0,0,4,3,2,0,4,0,32,2,1,2,1,2,0,1
3,6,4,4,0,3,1,1,0,2,2,24,2,0,2,2,1,1,0
3,18,4,4,2,4,4,2,0,3,1,32,0,1,2,3,1,1,0
3,15,3,4,0,2,4,3,0,3,0,33,0,1,2,2,1,0,0
0,45,0,9,0,4,2,2,0,4,2,29,2,0,2,2,1,0,0
0,6,2,0,1,4,3,2,0,2,1,43,2,1,1,2,1,1,0
1,7,2,4,0,2,2,2,2,2,0,35,2,1,1,2,1,0,0
1,24,2,1,0,4,4,1,0,2,3,44,2,2,1,3,1,1,0
3,30,4,1,4,4,1,2,0,4,2,63,2,1,2,2,1,0,0
3,15,3,3,3,3,3,1,0,2,1,30,2,1,2,2,1,0,0
1,48,2,4,4,3,4,2,0,1,2,41,2,1,2,2,2,1,0
3,24,4,6,0,2,4,0,0,2,0,33,2,1,2,2,1,1,0
0,18,2,3,0,1,1,1,0,4,2,22,2,0,1,2,1,0,0
0,24,2,2,0,4,4,1,2,4,0,58,2,1,1,1,1,1,0
1,15,4,4,4,4,4,2,2,4,0,50,2,1,2,2,1,1,0
3,12,2,4,0,1,4,1,0,3,2,34,2,1,1,2,2,0,0
1,48,1,0,4,0,4,2,1,4,3,36,2,2,1,3,1,1,0
0,47,2,0,0,1,1,1,0,1,0,35,2,1,1,1,1,1,0
1,18,2,7,4,2,4,2,0,4,3,61,2,2,1,2,1,0,0
3,10,2,7,2,4,4,2,0,4,3,46,2,2,1,2,1,1,0
0,11,4,0,0,2,2,2,0,2,0,36,2,0,2,2,2,0,0
3,6,2,3,0,1,1,1,0,4,1,32,2,1,1,2,1,0,0
1,12,2,4,0,2,1,1,0,1,2,22,2,1,1,2,1,1,0
0,21,1,0,4,2,4,2,0,2,1,40,2,1,2,1,2,0,0
0,36,2,3,0,4,4,2,0,2,2,42,2,1,1,2,2,0,0
3,24,2,1,4,2,2,0,0,4,3,48,2,2,1,2,1,1,0
1,48,0,9,4,2,2,2,0,2,2,48,0,1,1,3,1,1,0
3,24,3,9,4,2,4,2,0,4,0,32,2,1,2,2,2,1,0
3,24,2,1,4,0,2,1,0,4,1,26,2,0,1,3,1,1,0
1,15,2,6,1,2,4,2,2,2,0,22,2,1,1,2,1,0,0
1,36,3,0,1,4,2,2,0,4,2,42,2,1,4,3,1,1,0
0,24,3,0,0,0,4,2,0,2,0,43,2,2,2,2,2,0,0
3,9,2,3,0,2,4,1,0,2,0,26,2,0,1,2,1,0,0
3,9,2,3,0,1,2,1,1,2,2,19,2,0,2,2,1,0,0
0,12,2,3,0,2,2,0,0,1,2,42,2,1,1,2,1,0,0
3,24,4,2,0,0,4,2,1,2,3,27,0,1,2,3,1,1,0
3,6,4,0,2,2,1,3,0,2,2,24,2,1,1,2,1,0,0
0,18,2,3,0,2,1,1,0,4,0,20,0,0,1,2,1,0,0
3,15,2,5,4,1,4,1,0,1,0,24,2,1,1,2,1,0,0
0,6,4,4,0,3,1,1,0,4,2,31,2,1,1,2,1,0,0
1,10,2,0,0,0,2,2,0,4,3,70,0,2,1,3,1,1,0
2,24,2,3,0,2,2,2,0,2,0,26,2,1,1,2,1,0,0
1,24,2,0,0,1,3,1,0,4,2,25,2,1,1,1,1,1,0
0,12,2,7,0,1,4,1,0,4,1,53,2,1,1,2,1,0,0
2,30,4,4,0,4,4,2,0,4,1,47,2,1,1,2,1,0,0
0,48,1,9,0,3,2,1,2,4,2,37,2,0,1,2,1,0,0
3,12,4,9,0,0,4,2,0,2,2,42,1,1,2,3,1,1,0
0,36,2,7,4,4,4,2,0,4,3,40,2,1,1,3,1,1,0
3,36,4,0,0,2,4,1,0,2,0,25,1,1,2,2,1,1,0
3,18,4,0,0,3,2,2,0,2,1,31,0,1,2,2,1,0,0
1,21,3,0,0,2,1,0,0,4,1,47,2,1,2,2,1,0,0
3,18,2,0,0,2,2,3,0,2,1,30,2,1,1,3,1,1,0
3,12,2,1,4,1,2,3,0,4,2,26,2,0,1,2,1,1,0
0,12,2,4,2,4,3,3,0,1,0,35,2,1,1,2,1,0,0
0,18,3,7,4,2,1,1,0,2,2,23,2,0,2,2,1,1,0
1,26,2,1,0,1,2,2,0,3,2,30,2,1,2,2,1,0,0
0,12,2,1,0,4,3,2,0,4,3,35,2,2,1,2,1,1,0
2,12,4,0,2,3,4,3,0,2,0,28,2,1,3,2,1,1,0
3,12,4,4,4,4,4,1,0,3,1,33,0,1,1,1,2,0,0
0,24,2,3,0,1,4,2,1,1,1,24,2,1,1,1,1,0,1
0,12,0,6,0,3,4,2,0,3,0,28,2,1,2,2,1,0,0
1,13,2,4,0,1,2,1,2,4,1,23,2,1,1,1,1,0,0
0,24,2,1,0,0,4,2,0,2,3,29,2,2,1,3,1,1,0
3,48,3,4,2,3,4,2,0,1,2,37,2,1,1,3,1,1,0
3,12,4,4,2,4,4,2,0,4,1,42,2,1,2,2,2,1,0
0,24,1,3,2,2,4,2,0,4,0,22,1,1,1,2,1,1,0
1,24,2,0,0,2,3,1,0,4,1,20,2,0,1,1,1,1,0
2,10,2,0,1,4,1,1,0,4,3,48,2,2,1,1,2,0,0
1,12,2,0,3,4,4,2,0,4,0,54,2,1,1,2,1,1,0
0,48,2,9,0,1,3,1,0,4,1,24,2,0,1,2,1,0,0
0,12,2,3,0,0,3,1,0,4,3,55,2,2,1,3,1,0,0
3,24,2,4,1,3,4,3,0,3,1,26,2,1,1,2,1,1,0
0,30,4,1,1,3,1,3,0,4,2,24,2,0,2,2,1,0,0
1,18,3,6,0,2,2,2,0,4,0,44,2,1,1,1,2,1,0
1,6,2,4,0,4,4,2,0,4,2,28,2,1,1,2,2,0,0
1,11,2,3,3,1,4,1,0,1,0,20,2,1,1,2,1,0,0
3,24,4,3,0,3,4,2,0,3,1,40,2,1,2,2,1,0,0
0,18,1,4,0,1,3,2,1,4,3,36,0,2,1,3,1,1,0
1,24,0,9,0,2,1,2,0,4,0,36,2,1,3,1,1,1,0
2,6,4,0,0,2,1,2,0,1,0,74,2,1,3,0,2,0,1
3,24,2,0,1,4,4,3,0,4,0,41,2,0,1,1,1,0,0
3,28,4,4,0,4,4,2,0,2,2,29,2,1,2,2,1,0,0
3,12,2,4,0,3,4,2,0,2,2,31,2,0,2,3,2,1,0
1,48,4,3,0,2,2,1,0,3,2,30,2,1,1,3,1,1,0
0,12,2,0,0,1,4,2,0,1,0,33,2,1,1,1,2,0,0
3,36,3,3,2,3,2,1,0,4,2,40,2,1,2,2,1,1,0
1,30,4,0,4,4,4,2,0,4,0,36,2,1,2,2,1,0,0
3,6,2,7,0,1,1,1,0,2,3,56,2,1,1,2,1,0,0
0,6,4,4,2,4,4,2,0,4,2,52,2,1,2,2,1,0,0
1,39,3,7,1,3,2,2,0,3,3,32,2,0,1,2,1,1,0
1,24,4,3,0,1,2,1,0,4,2,25,0,1,1,1,1,0,0
2,24,2,3,0,4,3,0,0,4,3,51,2,2,1,2,1,0,0
3,6,4,4,0,4,2,3,0,2,0,30,2,0,2,2,1,0,0
1,36,3,9,1,3,1,2,0,3,1,31,2,1,2,1,2,1,0
2,12,2,0,0,1,4,2,0,1,0,26,2,1,1,2,1,0,0
2,30,4,4,4,4,4,2,0,4,1,49,1,1,2,1,1,0,0
0,18,2,0,0,1,1,1,0,2,2,23,2,1,1,1,1,0,0
0,12,1,4,0,2,4,0,0,1,3,29,2,2,1,2,1,0,0
0,48,2,0,0,4,4,2,0,4,3,42,0,2,1,3,1,0,0
0,6,4,3,0,2,1,0,0,4,0,44,2,0,1,3,1,1,0
0,24,2,4,1,2,4,1,0,2,2,32,2,1,1,1,1,0,0
3,18,4,0,0,2,4,1,0,3,0,36,2,1,2,2,1,0,0
3,24,2,0,0,2,2,2,2,2,0,31,2,1,1,2,1,1,0
3,12,2,4,0,2,4,2,0,2,0,30,0,1,2,2,1,0,0
0,21,4,0,0,4,4,2,0,4,0,65,2,1,2,2,1,0,0
0,36,2,1,0,2,2,2,0,2,1,26,2,1,1,2,2,0,0
0,10,4,0,0,1,1,2,0,3,0,48,2,0,2,1,2,0,1
3,12,4,4,4,4,1,2,1,4,0,49,2,1,1,2,1,1,0
1,30,1,3,3,2,4,2,0,2,2,34,1,1,1,2,2,1,0
3,18,3,9,0,2,4,3,0,2,2,28,2,1,1,2,1,1,0
1,24,4,7,0,1,2,1,0,4,3,24,2,2,2,2,1,1,0
1,24,2,2,0,2,2,2,1,3,2,29,0,1,2,3,1,1,0
3,6,1,4,2,4,2,2,0,4,1,45,0,1,1,1,2,0,0
1,24,2,4,4,4,2,1,0,4,2,42,2,1,1,2,1,1,0
0,12,2,8,0,3,4,3,0,4,1,21,2,0,1,2,1,0,0
0,24,2,4,0,2,2,1,0,4,2,28,2,1,1,2,1,0,0
2,24,4,3,4,4,4,2,1,4,3,20,2,0,2,2,1,0,0
0,24,1,3,0,3,3,2,0,4,2,27,0,1,1,2,1,0,0
3,36,2,7,0,2,4,2,0,4,3,37,1,2,1,2,1,1,0
3,48,2,9,4,2,4,0,0,2,0,38,0,1,1,2,1,0,0
1,24,4,0,1,1,4,0,0,2,2,37,2,1,1,2,1,1,0
3,18,2,3,0,4,4,2,0,4,1,47,0,1,3,2,2,1,0
0,9,2,3,0,2,3,2,0,2,0,25,2,1,1,2,1,0,0
1,24,4,1,3,4,2,1,0,4,3,29,2,0,1,2,1,0,0
0,12,4,1,0,4,4,2,0,4,3,66,2,2,2,3,1,0,0
1,24,3,4,0,1,1,2,0,2,2,33,2,1,1,2,1,0,0
0,36,2,0,0,1,4,1,0,4,2,34,2,1,1,2,1,1,0
0,12,2,4,1,3,4,3,0,1,1,20,2,1,1,2,1,0,0
3,12,4,3,2,3,3,1,0,4,2,37,2,0,1,2,1,1,0
1,6,2,0,4,0,1,2,0,2,1,23,2,1,1,0,1,1,0
3,24,2,0,0,4,4,1,1,4,3,62,2,2,1,2,1,1,0
0,10,4,3,4,1,2,1,1,3,0,27,2,0,2,2,1,0,1
3,4,4,0,0,3,2,2,0,1,0,42,2,1,3,1,2,0,0
2,15,2,9,0,3,2,2,0,4,1,26,2,0,1,2,1,1,0
0,21,4,0,0,4,4,3,0,3,2,30,2,1,2,2,1,1,0
1,24,3,0,4,2,4,1,0,4,2,42,2,0,2,2,1,1,0
0,12,2,4,0,2,4,3,0,2,0,40,2,1,1,1,1,0,0
0,42,2,4,4,3,4,1,0,3,2,30,2,1,1,3,1,1,0
3,6,2,8,4,0,4,2,0,4,1,36,2,1,1,3,2,1,0
0,6,4,0,4,1,1,2,0,3,0,44,2,1,2,1,2,0,0
3,36,4,4,0,2,2,1,0,2,2,31,1,1,2,2,1,0,0
3,27,4,3,3,1,4,2,0,2,0,32,1,1,2,1,2,1,0
1,30,2,4,4,4,2,1,0,4,2,25,2,1,1,2,1,0,0
1,18,2,3,0,3,2,1,0,4,0,40,2,0,1,2,1,0,0
0,14,2,0,0,4,1,0,0,4,1,45,2,1,1,3,1,1,1
3,36,2,4,2,4,4,2,0,4,2,39,2,1,1,2,1,0,0
1,9,4,7,3,4,4,2,0,3,3,32,2,2,2,2,2,0,0
1,9,4,7,0,4,2,1,0,3,2,34,2,1,2,3,1,1,0
1,45,4,1,1,0,3,2,0,4,2,27,2,1,1,2,1,0,0
2,15,2,4,0,1,2,1,0,3,0,25,2,1,1,1,1,0,0
1,24,2,1,0,2,1,1,0,4,2,23,2,0,2,3,1,0,0
3,12,4,7,0,4,2,1,0,4,3,57,0,2,3,1,1,0,0
3,12,2,7,0,4,4,2,0,4,2,41,0,1,1,1,2,0,0
