case_name,alpha_value,ate,cate_treated,cate_control,cate_mean,cate_difference,dataset_type,ganite_model_type
ganite_α5_average_alpha_0.0,0.0,-9.898056407013907,3840.276635748669,3840.276635748669,3840.276635748669,0.0,ganite_α5,ganite
ganite_α5_average_alpha_0.9,0.9,5.155087086088674,15661.33659229044,15661.33659229044,15661.33659229044,0.0,ganite_α5,ganite
ganite_α5_average_alpha_0.8,0.8,3.189350253303129,12229.29277972478,12229.29277972478,12229.29277972478,0.0,ganite_α5,ganite
ganite_α5_average_alpha_0.1,0.1,-8.151693073998766,4750.066313071728,4750.066313071728,4750.066313071728,0.0,ganite_α5,ganite
ganite_α5_average_alpha_0.6,0.6,0.09315136000458146,9061.317954887585,9061.317954887585,9061.317954887585,0.0,ganite_α5,ganite
true_average_alpha_1.0,1.0,6.628755451804875,16934.03682031537,16934.03682031537,16934.03682031537,0.0,true,true
manual_average_alpha_0.8,0.8,3.9462916105547894,11568.08342660846,11568.08342660846,11568.08342660846,0.0,manual,manual
manual_average_alpha_0.6,0.6,1.2356791278545405,7056.357634273478,7056.357634273478,7056.357634273478,0.0,manual,manual
random_average_alpha_1.0,1.0,6.628755451804875,16934.03682031537,16934.03682031537,16934.03682031537,0.0,random,random
manual_average_alpha_0.1,0.1,-5.534022368668936,1438.6766232003638,1438.6766232003638,1438.6766232003638,0.0,manual,manual
manual_average_alpha_0.0,0.0,-6.724617110961018,1262.8372599588724,1262.8372599588724,1262.8372599588724,0.0,manual,manual
manual_average_alpha_0.7,0.7,2.732133403915787,9363.71619806641,9363.71619806641,9363.71619806641,0.0,manual,manual
manual_average_alpha_0.9,0.9,5.380689567626727,14761.00320050451,14761.00320050451,14761.00320050451,0.0,manual,manual
ganite_α7_average_alpha_0.7,0.7,-1.0488237529819706,8168.079968838729,8168.079968838729,8168.079968838729,0.0,ganite_α7,ganite
ganite_α7_average_alpha_0.0,0.0,-18.244385682179242,5972.245090553215,5972.245090553215,5972.245090553215,0.0,ganite_α7,ganite
ganite_α7_average_alpha_0.9,0.9,4.474929152249469,15061.41746175878,15061.41746175878,15061.41746175878,0.0,ganite_α7,ganite
ganite_α8_average_alpha_0.4,0.4,-7.024182776581723,4133.067103881622,4133.067103881622,4133.067103881622,0.0,ganite_α8,ganite
ganite_α8_average_alpha_0.3,0.3,-9.224884981697928,3789.688582410575,3789.688582410575,3789.688582410575,0.0,ganite_α8,ganite
ganite_α7_average_alpha_0.8,0.8,1.4020825041440883,10098.675927077591,10098.675927077591,10098.675927077591,0.0,ganite_α7,ganite
ganite_α7_average_alpha_0.1,0.1,-15.741411414028313,5394.218502539152,5394.218502539152,5394.218502539152,0.0,ganite_α7,ganite
ganite_α7_average_alpha_0.6,0.6,-3.1324301415560214,7990.212624437792,7990.212624437792,7990.212624437792,0.0,ganite_α7,ganite
ganite_α8_average_alpha_0.2,0.2,-11.24847727885498,3542.2541618919636,3542.2541618919636,3542.2541618919636,0.0,ganite_α8,ganite
ganite_α8_average_alpha_0.5,0.5,-4.801453045074867,4707.116130548324,4707.116130548324,4707.116130548324,0.0,ganite_α8,ganite
ganite_α6_average_alpha_0.7,0.7,-0.8189164018133326,5845.74070670478,5845.74070670478,5845.74070670478,0.0,ganite_α6,ganite
random_average_alpha_0.3,0.3,6.803176957852068,50566.47424598212,50566.47424598212,50566.47424598212,0.0,random,random
random_average_alpha_0.4,0.4,6.727559702375907,42708.17025677971,42708.17025677971,42708.17025677971,0.0,random,random
ganite_α6_average_alpha_0.0,0.0,-16.324341426105264,3723.2927993678563,3723.2927993678563,3723.2927993678563,0.0,ganite_α6,ganite
ganite_α6_average_alpha_0.9,0.9,4.429297157834867,13596.874263842148,13596.874263842148,13596.874263842148,0.0,ganite_α6,ganite
true_average_alpha_0.4,0.4,6.623298997647254,16939.662584143072,16939.662584143072,16939.662584143072,0.0,true,true
true_average_alpha_0.3,0.3,6.679935084156794,17204.96987268391,17204.96987268391,17204.96987268391,0.0,true,true
ganite_α6_average_alpha_0.8,0.8,1.799842909109925,9051.853174344084,9051.853174344084,9051.853174344084,0.0,ganite_α6,ganite
ganite_α6_average_alpha_0.1,0.1,-13.958791444439962,2459.1985837240272,2459.1985837240272,2459.1985837240272,0.0,ganite_α6,ganite
random_average_alpha_0.5,0.5,7.1949200279750345,30457.457819375923,30457.457819375923,30457.457819375923,0.0,random,random
random_average_alpha_0.2,0.2,7.341029445712326,59904.119390874475,59904.119390874475,59904.119390874475,0.0,random,random
ganite_α6_average_alpha_0.6,0.6,-3.023369751674217,4257.952481139111,4257.952481139111,4257.952481139111,0.0,ganite_α6,ganite
true_average_alpha_0.2,0.2,6.629186011400862,16975.831668778686,16975.831668778686,16975.831668778686,0.0,true,true
true_average_alpha_0.5,0.5,6.628755451804875,16934.03682031537,16934.03682031537,16934.03682031537,0.0,true,true
